料理
写真
マラソン
物事を教えること
知らない人とすぐに仲良くなる
無遅刻無欠席
早起き
アイロンがけ
裁縫
ピアノ
ギター
英語
ゴルフ
将棋
野球
サッカー
テニス
スノーボード
登山
利き酒
コーラ一気飲み
AKB48のメンバーの名前をすべて言える
ダンス
書道
水泳
アーチェリー
作曲
道に迷わない
気兼ねなく話しかけやすい
人の相談に乗る
人の気持ちになれる
レールを外れる
子供に好かれる
人受けが良い
旅行の計画
パソコンが得意
スマホが得意
常識にとらわれない
情報収集をする
車の車種を見るだけでわかる
後輩の面倒をみる
山登りをする
キャンプをする
テレビゲームをする
作文を書く
行動力がある
人前で話す
大検の勉強
発言能力がある
発想力がある
協調性がある
