勉強が苦手
テストができない
友達ができない
運動が苦手
人前でうまく話せない
お金がない
兄弟と比べられる
早起きができない
いじめられていた
背が低い
アトピー
人見知り
私服がダサい
引きこもり
天然パーマ
出っ歯
外反母趾
親が厳しい
モテない
夢がない
やりたいことがない
学校が遠い
先生に嫌われている
体が弱い
太っている
自閉症
ADHD
発達障害
本を読むのが遅い
ディスレクシア
読み書き障害
学習障害
視覚障害
盲目
摂食障害
パニック障害
免疫機能障害
ぜんそく
近視
乱視
椎間板ヘルニア
てんかん
貧血
偏頭痛
メニエール病
