食生活を通してのかたつむりとめだかへの挑戦状！
健康な土の力
地面にできる「皮」の研究
藍より青く染めた夏
オジギソウの膨圧運動
よく消える消しゴムを作ろう！！
バナナの皮は本当にすべりやすいのか
震で倒れない五重塔の秘密を探る
物体の落下凹みと月のクレーター
ぼくのヨロイイソギンチャク
すごいぞ、がんばれ微生物！
アリの研究 〜アリの行列〜
カルスを分化させる方法の研究
シロツメクサの就眠運動について
底のある「底なし沼」の研究
放射性セシウムと植物およびキノコの関係について
容器の素材や形状による液だれの発生について
街の中の数学Ⅱ
花粉の研究
モンシロチョウの幼虫の食欲について
ヨーグルトから生分解性プラスチックを作る
アオスジアゲハの色調べ
ショウジョウバエの味覚
朝顔の観察 
すごいぞ！100m以上飛ぶバッタのひみつ
フタバガキの種子の回転の秘密を探る
焼杉の研究
揚げ春雨スナックの研究
網を通過する風の研究
自作の振り子で重力加速度を測定
音を出す虫たちのひみつ
羽のふしぎ
セミの翅脈の不思議
糸はり名人と光るマユ
10円玉が側面で立つ確率の研究
なぜ割れない？ シャボン玉の不思議
植物色素アントシアニンの蛍光の研究
ひまわりのフィボナッチと黄金比を検証する
メロスの全力を検証
「デザイン定規」＆「ローリングルーラー」は，なぜ美しい図形が描けるのか？
どこまでもついてくる闇の関係
なぜ本を並べるとでこぼこか
私のかみの毛　何本？
曲面にかこまれた貝の体積が求められるか
山頂のわき水は何日で海に着くか
めざましじゃんけんの不思議
対向車ナンバー予想ゲーム必勝法
美しい方陣
何乗しても下n桁が変わらない数
青の限界
データの特徴を表す関数の作成
野球の最適打順の数学的考察
